TOWN,TotCase,Case2w,rate100k,posTest2w,percPos2w
SOUTH HADLEY,530,98,38.7,120,5.39,
SOUTHAMPTON,169,47,55.8,51,6.89,
SOUTHBOROUGH,258,65,48.0,68,4.36,
SOUTHBRIDGE,918,171,72.8,198,12.56,
SOUTHWICK,273,36,26.2,38,5.40,
SPENCER,404,91,56.7,95,8.29,
SPRINGFIELD,10995,1669,76.3,2110,11.57,
STERLING,399,76,69.1,81,7.29,
STOCKBRIDGE,27,5,4.2,1,0.33,
STONEHAM,1312,286,91.8,322,6.80,
STOUGHTON,1502,274,70.7,300,9.76,
STOW,128,20,19.7,24,3.61,
STURBRIDGE,268,67,45.3,72,8.20,
SUDBURY,411,60,24.1,64,2.59,
SUNDERLAND,89,8,15.4,10,1.36,
SUTTON,349,65,51.9,69,8.08,
SWAMPSCOTT,598,132,69.2,164,5.19,
SWANSEA,910,145,64.9,165,9.14,
TAUNTON,3117,590,73.2,689,9.87,
TEMPLETON,295,59,46.7,64,5.65,
TEWKSBURY,1910,361,83.7,387,7.85,
TISBURY,152,24,41.1,26,2.91,
TOLLAND,5,0,0,0,0,
TOPSFIELD,266,42,51.9,46,4.59,
TOWNSEND,207,33,25.9,38,6.34,
TRURO,18,0,0,0,0,
TYNGSBOROUGH,658,107,63.8,120,10.44,
TYRINGHAM,6,5,118.3,4,11.43,
UPTON,152,37,28.7,39,6.02,
UXBRIDGE,466,87,39.8,96,8.55,
WAKEFIELD,1194,260,68.5,317,5.87,
WALES,35,7,26.2,7,5.88,
WALPOLE,895,193,52.9,219,6.74,
WALTHAM,3112,448,48.2,510,5.47,
WARE,205,43,30.2,48,5.09,
WAREHAM,779,141,41.6,165,7.21,
WARREN,84,21,27.6,24,7.64,
WARWICK,5,5,19.5,2,3.64,
WASHINGTON,5,0,0,0,0,
WATERTOWN,1280,229,49.5,277,4.41,
WAYLAND,308,66,35.7,77,3.45,
WEBSTER,937,232,96.5,256,10.75,
WELLESLEY,639,78,18.8,88,1.58,
WELLFLEET,28,5,2.6,1,0.78,
WENDELL,9,5,10.1,1,1.72,
WENHAM,140,40,54.9,46,5.33,
WEST BOYLSTON,277,48,43.7,52,5.63,
WEST BRIDGEWATER,416,99,97.1,107,9.75,
WEST BROOKFIELD,109,30,57.9,32,6.41,
WEST NEWBURY,99,24,42.5,25,5.20,
WEST SPRINGFIELD,1462,205,49.9,239,6.67,
WEST STOCKBRIDGE,22,5,24.3,5,3.38,
WEST TISBURY,53,6,14.9,7,2.21,
WESTBOROUGH,887,127,48.5,147,4.30,
WESTFIELD,1527,225,38.9,249,6.12,
WESTFORD,660,125,38.7,137,6.11,
WESTHAMPTON,27,9,37.6,9,11.84,
WESTMINSTER,223,57,55.7,58,8.32,
WESTON,284,36,23.4,44,1.99,
WESTPORT,786,161,68.6,182,11.00,
WESTWOOD,462,84,40.8,88,4.68,
WEYMOUTH,2374,526,66.9,574,9.32,
WHATELY,36,6,29.5,7,8.14,
WHITMAN,666,136,62.5,157,10.58,
WILBRAHAM,712,111,54.6,138,7.01,
WILLIAMSBURG,41,7,20.3,7,1.91,
WILLIAMSTOWN,161,25,24.9,30,1.72,
WILMINGTON,1208,289,84.4,321,10.68,
WINCHENDON,300,49,32.5,51,5.79,
WINCHESTER,646,141,45.2,155,3.46,
WINDSOR,7,0,0,0,0,
WINTHROP,1383,192,72.7,257,5.97,
WOBURN,2446,448,77.1,526,8.64,
WORCESTER,14458,2047,76.3,2320,7.50,
WORTHINGTON,20,5,6.8,1,0.93,
WRENTHAM,564,91,57.7,98,5.15,
YARMOUTH,624,172,51.1,204,7.78,
UNKNOWN,1042,209,*,213,*,
STATE,352558,56889,58.3,66504,6.51,
